id,neighbourhood_cleansed,room_type_simple,accommodates,bedrooms,price_clean,price_category,latitude,longitude,review_scores_rating,number_of_reviews,host_is_superhost
22907250,Copacabana,Casa/Apto Inteiro,5,2.0,,,-22.9831,-43.19261,5.0,4,f
11970984,Barra da Tijuca,Casa/Apto Inteiro,5,2.0,259.0,Baixo,-23.01137,-43.30048,4.67,24,t
1435056466575945907,Laranjeiras,Casa/Apto Inteiro,4,2.0,242.0,Baixo,-22.93198,-43.18085,5.0,2,f
639374375948640067,Botafogo,Quarto Privado,2,1.0,117.0,Muito Baixo,-22.9562,-43.19577,4.97,36,t
1200855575990087160,Centro,Quarto Privado,2,1.0,174.0,Baixo,-22.912042395876075,-43.1758492239905,5.0,6,f
1358790669294786029,Centro,Casa/Apto Inteiro,4,1.0,158.0,Baixo,-22.9114634,-43.1931616,4.93,30,t
7100391,Barra da Tijuca,Casa/Apto Inteiro,4,1.0,550.0,Médio-Baixo,-23.01167,-43.31965,4.76,41,f
820254224350753722,Camorim,Casa/Apto Inteiro,4,1.0,238.0,Baixo,-22.982229668046703,-43.42460745273178,5.0,4,f
1349154969458047215,Lagoa,Casa/Apto Inteiro,2,1.0,1212.0,Médio-Alto,-22.973369017774267,-43.20472575724125,5.0,2,f
803131762746187646,Barra da Tijuca,Casa/Apto Inteiro,6,3.0,,,-23.009587,-43.2998026,,0,f
1348530834047381888,Barra de Guaratiba,Quarto Privado,16,7.0,395.0,Médio-Baixo,-23.06508,-43.56656,,0,f
13604636,Copacabana,Casa/Apto Inteiro,3,0.0,162.0,Baixo,-22.96656,-43.18089,4.98,46,f
17989551,Campinho,Quarto Privado,1,2.0,,,-22.88355,-43.35084,,0,f
879645357999592448,Copacabana,Casa/Apto Inteiro,4,1.0,359.0,Médio-Baixo,-22.9618518,-43.174883,4.81,31,t
39203153,Flamengo,Casa/Apto Inteiro,4,1.0,148.0,Baixo,-22.93881,-43.17581,4.71,7,f
740526426605690299,Urca,Casa/Apto Inteiro,2,0.0,211.0,Baixo,-22.950111077330256,-43.16710207611322,5.0,24,t
1414631089348683499,São Conrado,Quarto Privado,4,1.0,440.0,Médio-Baixo,-22.996898685527466,-43.257863373903895,,0,f
896972732839206459,Leblon,Casa/Apto Inteiro,2,1.0,156.0,Baixo,-22.982519,-43.2231213,4.86,70,f
1442710121378373776,Botafogo,Casa/Apto Inteiro,4,2.0,361.0,Médio-Baixo,-22.95457,-43.19033,,0,f
1577088,Glória,Casa/Apto Inteiro,5,3.0,900.0,Médio,-22.92368,-43.1718,4.85,13,f
